product_id,name,main_category,sub_category,ratings,no_of_ratings,price (USD),cost (USD)
bx-92LO1U,"Shree Enterprise Formal Analog Girl's Watch (Black & White Dial, Black & White Colored Strap) (Pack of 2)",accessories,Watches,3.5,188,6.0,4.2
bx-92MLIM,GUESS Ladies Dress Silver Watch - GW0511L3,accessories,Watches,,,228.0,45.0
bx-92NIN6,neeah Women's Banarasi Art Silk Saree With Unstitched Blouse Piece,women's clothing,Clothing,3.8,"2,098",60.0,22.8
bx-92NMSN,"TEACURRY Belly Fat Tea (1 Month Pack, 100 Grams) + Infuser - Helps with Belly Fat, Water Weight, Bloating (100 Grams | 50 ...",grocery & gourmet foods,"Coffee, Tea & Beverages",Get,FREE Delivery by Amazon,13.0,7.7
bx-92P3Z5,URBAN BOX Minimalist Pop up Card Holder Wallet for Men RFID Blocking | Slim Business Credit Card Wallet with Money Pocket...,accessories,Bags & Luggage,,,6.0,2.4
bx-92P8MF,SIRIL Women's Linen Satin Embroidery Straight Kurta Set with Dupatta,women's clothing,Clothing,3.0,6,51.0,42.9
bx-92PD0U,LEOTUDE Women's Oversized Hooded Neck Sweatshirt,women's clothing,Clothing,5.0,3,19.0,7.2
bx-92PQMO,Fastrack Womens 32.5 x 38.4 x 7.95 mm Younique Black Dial Stainless Steel Analog Watch - 6278NM01,accessories,Watches,1.0,1,38.0,25.0
bx-92QW0C,NEUTRON Stylish Analog Black Color Dial Women Watch - GCPL3-G386 (Pack of 2),accessories,Watches,,,10.0,1.8
bx-92S0HB,"VTS® Camera Backpack Bag Waterproof Shock Proof for Camera Lens Accessories Shoulder Carry Bag Case for Dslr, Nikon, Sony,...",accessories,Bags & Luggage,4.2,179,48.0,7.3
bx-92STYL,Joker & Witch Ivy Virgo Watch Bracelet Gift Set for Women,accessories,Watches,,,66.0,43.6
bx-92SZKC,XUDOUS Cute Couple in Love Boy Girl | Set of 2 Model 2 Keychain | Miniature (Multicolor),accessories,Bags & Luggage,,,4.0,1.3
bx-92T7EY,LAVI Fashion Trending Women's Pure Cotton Maternity Wear Comfortable Maxi Gown Nightdresses Multicolour,women's clothing,Clothing,,,12.0,8.7
bx-92UDQB,NEUTRON Professional Analog Gold and Black Color Dial Girls Watch - G442-(59-L-10) (Pack of 2),accessories,Watches,,,8.0,2.5
bx-92ULYW,G4Girl Women's Cotton Salwar Suit,women's clothing,Clothing,3.6,90,18.0,12.8
bx-92UU1J,"Leaf Bass Wireless Bluetooth Over Ear Headphones with Mic and 10 Hours Battery Life, Over Ear Headphones with Super Soft C...","tv, audio & cameras",All Electronics,3.8,"19,229",24.0,2.6
bx-92UUZ4,Alphabet Cotton Ethnic Print top for Women,women's clothing,Clothing,5.0,2,12.0,6.9
bx-92VOWE,DKNY Analog Rose Gold Dial Women's Watch - NY2637,accessories,Watches,4.6,26,,0.0
bx-92Y6MU,Pisara Women's Cotton Silk Printed Saree,women's clothing,Clothing,4.7,5,19.0,5.0
bx-92YGX8,NEUTRON Stylish Analog Black and Blue Color Dial Women Watch - GM379-GX2 (Pack of 2),accessories,Watches,,,9.0,6.8
bx-92ZC5U,Scott International Women's Organic Cotton Polo T-Shirt 1.1_lsp1,women's clothing,Clothing,3.8,"1,097",18.0,2.9
bx-92ZM5M,"Glowic Women, Cute Hand Girls for College, Travel, Grocery, Reusable Shopping Book Bag(WBAG-36) (White)",accessories,Bags & Luggage,3.9,112,18.0,10.6
bx-931BE9,Saregama Carvaan Mini Hindi 2.0- Music Player with Bluetooth/FM/AM/AUX (Moonlight Black),"tv, audio & cameras",All Electronics,4.2,"20,094",32.0,11.9
bx-93290Z,TIMEX Analog Turquoise Dial Women's Watch-TWEL15102,accessories,Watches,4.0,3,60.0,17.4
bx-932TD0,Micromax X778 Marsala,"tv, audio & cameras",All Electronics,3.4,93,24.0,0.2
bx-9352MR,Moonlight Enterprise Exclusive New Latest Designed Combo of 2 Watch for Men & Women Analog Watch - for Girls,accessories,Watches,Get,Only 1 left in stock.,12.0,2.5
